From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    184 :    45830.78 MFlops :       0.00 Sec : 11776
    185 :    48392.81 MFlops :       0.00 Sec : 11840
    186 :    37194.87 MFlops :       0.00 Sec : 11904
    187 :    49553.67 MFlops :       0.00 Sec : 11968
    188 :    42071.67 MFlops :       0.00 Sec : 12032
    189 :    39542.61 MFlops :       0.00 Sec : 12096
    190 :    38356.00 MFlops :       0.00 Sec : 12160
    191 :    41176.12 MFlops :       0.00 Sec : 12224
    192 :    41687.98 MFlops :       0.00 Sec : 12288
    193 :    39133.12 MFlops :       0.00 Sec : 12352
    194 :    50974.33 MFlops :       0.00 Sec : 12416
    195 :    48938.14 MFlops :       0.00 Sec : 12480
    196 :    49881.76 MFlops :       0.00 Sec : 12544
    197 :    50149.88 MFlops :       0.00 Sec : 12608
    198 :    50236.21 MFlops :       0.00 Sec : 12672
    199 :    49730.15 MFlops :       0.00 Sec : 12736
    200 :    51338.16 MFlops :       0.00 Sec : 12800
