From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 183x183 :   55211.59 MFlops   0.000296 s
 184x184 :   81431.42 MFlops   0.000204 s
 185x185 :   52599.17 MFlops   0.000321 s
 186x186 :   53290.73 MFlops   0.000322 s
 187x187 :   50544.56 MFlops   0.000345 s
 188x188 :   63737.86 MFlops   0.000278 s
 189x189 :   56085.31 MFlops   0.000321 s
 190x190 :   58623.93 MFlops   0.000312 s
 191x191 :   57172.27 MFlops   0.000325 s
 192x192 :   88612.06 MFlops   0.000213 s
 193x193 :   54617.72 MFlops   0.000351 s
 194x194 :   55156.82 MFlops   0.000353 s
 195x195 :   53440.54 MFlops   0.000370 s
 196x196 :   60660.91 MFlops   0.000331 s
 197x197 :   51225.28 MFlops   0.000398 s
 198x198 :   57181.52 MFlops   0.000362 s
 199x199 :   55448.37 MFlops   0.000379 s
 200x200 :   85676.04 MFlops   0.000249 s
