From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    150 :    15689.22 MFlops :       0.01 Sec : 19500
    151 :    15338.90 MFlops :       0.01 Sec : 19630
    152 :     8317.52 MFlops :       0.01 Sec : 19760
    153 :    16779.88 MFlops :       0.01 Sec : 19890
    154 :    11082.65 MFlops :       0.01 Sec : 20020
    155 :    11434.36 MFlops :       0.01 Sec : 20150
    156 :    13192.51 MFlops :       0.01 Sec : 20280
    157 :     9070.98 MFlops :       0.01 Sec : 20410
    158 :    17297.42 MFlops :       0.01 Sec : 20540
    159 :     9497.32 MFlops :       0.01 Sec : 20670
    160 :    16232.34 MFlops :       0.01 Sec : 20800
    161 :      507.60 MFlops :       0.22 Sec : 20930
    162 :    14770.12 MFlops :       0.01 Sec : 21060
    163 :    13633.26 MFlops :       0.01 Sec : 21190
    164 :     7413.04 MFlops :       0.02 Sec : 21320
    165 :    12828.38 MFlops :       0.01 Sec : 21450
    166 :    15453.07 MFlops :       0.01 Sec : 21580
    167 :    15913.70 MFlops :       0.01 Sec : 21710
    168 :     9695.36 MFlops :       0.01 Sec : 21840
    169 :    17345.42 MFlops :       0.01 Sec : 21970
    170 :    10809.67 MFlops :       0.01 Sec : 22100
    171 :    19011.63 MFlops :       0.01 Sec : 22230
    172 :    10563.65 MFlops :       0.01 Sec : 22360
    173 :    17806.86 MFlops :       0.01 Sec : 22490
    174 :     9270.62 MFlops :       0.01 Sec : 22620
    175 :    13932.89 MFlops :       0.01 Sec : 22750
    176 :    13524.14 MFlops :       0.01 Sec : 22880
    177 :    15166.30 MFlops :       0.01 Sec : 23010
    178 :    13764.80 MFlops :       0.01 Sec : 23140
    179 :    15569.80 MFlops :       0.01 Sec : 23270
    180 :    12731.66 MFlops :       0.01 Sec : 23400
    181 :    17454.45 MFlops :       0.01 Sec : 23530
    182 :    12655.04 MFlops :       0.01 Sec : 23660
    183 :    19105.26 MFlops :       0.01 Sec : 23790
    184 :    10603.33 MFlops :       0.02 Sec : 23920
    185 :    20197.68 MFlops :       0.01 Sec : 24050
    186 :    12199.72 MFlops :       0.01 Sec : 24180
