From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    185 :    27477.94 MFlops :       0.00 Sec : 11840
    186 :    27655.41 MFlops :       0.00 Sec : 11904
    187 :    27053.83 MFlops :       0.00 Sec : 11968
    188 :    31972.94 MFlops :       0.00 Sec : 12032
    189 :    34753.05 MFlops :       0.00 Sec : 12096
    190 :    35723.73 MFlops :       0.00 Sec : 12160
    191 :    36723.54 MFlops :       0.00 Sec : 12224
    192 :    39498.49 MFlops :       0.00 Sec : 12288
    193 :    37009.62 MFlops :       0.00 Sec : 12352
    194 :    35918.02 MFlops :       0.00 Sec : 12416
    195 :    35944.53 MFlops :       0.00 Sec : 12480
    196 :    37458.02 MFlops :       0.00 Sec : 12544
    197 :    36661.91 MFlops :       0.00 Sec : 12608
    198 :    36956.92 MFlops :       0.00 Sec : 12672
    199 :    36730.51 MFlops :       0.00 Sec : 12736
    200 :    37551.24 MFlops :       0.00 Sec : 12800
