From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    169 :     7661.56 MFlops :       0.02 Sec : 21970
    170 :     7268.19 MFlops :       0.02 Sec : 22100
    171 :     9133.23 MFlops :       0.01 Sec : 22230
    172 :    10211.02 MFlops :       0.01 Sec : 22360
    173 :     8072.55 MFlops :       0.02 Sec : 22490
    174 :     7799.54 MFlops :       0.02 Sec : 22620
    175 :     7773.50 MFlops :       0.02 Sec : 22750
    176 :     9318.10 MFlops :       0.02 Sec : 22880
    177 :     8807.21 MFlops :       0.02 Sec : 23010
    178 :     9401.37 MFlops :       0.02 Sec : 23140
    179 :     8342.25 MFlops :       0.02 Sec : 23270
    180 :     7877.52 MFlops :       0.02 Sec : 23400
    181 :     6329.26 MFlops :       0.02 Sec : 23530
    182 :     8436.92 MFlops :       0.02 Sec : 23660
    183 :     9613.53 MFlops :       0.02 Sec : 23790
    184 :     6735.77 MFlops :       0.02 Sec : 23920
    185 :     8371.16 MFlops :       0.02 Sec : 24050
    186 :     7885.22 MFlops :       0.02 Sec : 24180
    187 :     8010.48 MFlops :       0.02 Sec : 24310
    188 :     4258.66 MFlops :       0.04 Sec : 24440
    189 :     7782.54 MFlops :       0.02 Sec : 24570
    190 :     7846.61 MFlops :       0.02 Sec : 24700
    191 :     8409.61 MFlops :       0.02 Sec : 24830
    192 :     6729.04 MFlops :       0.03 Sec : 24960
    193 :     9427.16 MFlops :       0.02 Sec : 25090
    194 :     8844.16 MFlops :       0.02 Sec : 25220
    195 :     8902.99 MFlops :       0.02 Sec : 25350
    196 :     6482.66 MFlops :       0.03 Sec : 25480
    197 :     9183.52 MFlops :       0.02 Sec : 25610
    198 :     7015.30 MFlops :       0.03 Sec : 25740
    199 :     7935.15 MFlops :       0.03 Sec : 25870
    200 :     9142.76 MFlops :       0.02 Sec : 26000
