From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    105 :   5.286932e-05    22050.00 MFlops    5512.50 MFlops   20353.85 MFlops
    106 :   1.394749e-05    24060.93 MFlops    5618.00 MFlops   22067.10 MFlops
    107 :   1.299381e-05    24020.45 MFlops    5724.50 MFlops   22094.56 MFlops
    108 :   1.931190e-05    25448.73 MFlops    5832.00 MFlops   23328.00 MFlops
    109 :   1.156330e-05    23982.02 MFlops    4752.40 MFlops   21636.94 MFlops
    110 :   1.168251e-05    23981.98 MFlops    6050.00 MFlops   22232.52 MFlops
    111 :   1.990795e-05    23993.53 MFlops    4928.40 MFlops   21776.65 MFlops
    112 :   1.060963e-05    27547.61 MFlops    6272.00 MFlops   25308.07 MFlops
    113 :   7.969141e-05    26720.31 MFlops    5107.60 MFlops   24084.62 MFlops
    114 :   4.029274e-05    26694.49 MFlops    5198.40 MFlops   24135.43 MFlops
    115 :   1.597404e-05    25997.86 MFlops    6612.50 MFlops   24194.57 MFlops
    116 :   1.022816e-04    27384.14 MFlops    5382.40 MFlops   24825.80 MFlops
    117 :   1.829863e-05    26042.49 MFlops    5475.60 MFlops   23806.96 MFlops
    118 :   2.014637e-05    26715.97 MFlops    6962.00 MFlops   24960.06 MFlops
    119 :   3.302097e-05    26126.50 MFlops    5664.40 MFlops   23995.03 MFlops
    120 :   2.157688e-05    30315.79 MFlops    5760.00 MFlops   27460.47 MFlops
    121 :   3.093481e-05    28805.87 MFlops    5856.40 MFlops   26311.36 MFlops
    122 :   2.197027e-04    29525.98 MFlops    5953.60 MFlops   26963.77 MFlops
    123 :   1.764297e-05    28850.65 MFlops    6051.60 MFlops   26475.75 MFlops
    124 :   2.164841e-04    30263.87 MFlops    5125.33 MFlops   27121.56 MFlops
    125 :   3.570318e-05    28935.19 MFlops    5208.33 MFlops   26143.79 MFlops
    126 :   8.165836e-06    28990.96 MFlops    5292.00 MFlops   26256.46 MFlops
    127 :   5.340576e-05    28449.76 MFlops    5376.33 MFlops   25886.05 MFlops
    128 :   1.031756e-04    34952.53 MFlops    5461.33 MFlops   31105.86 MFlops
    129 :   1.478195e-05    30449.49 MFlops    4160.25 MFlops   26625.60 MFlops
    130 :   5.519390e-05    31163.12 MFlops    5633.33 MFlops   28272.96 MFlops
    131 :   3.188848e-05    30586.27 MFlops    5720.33 MFlops   27873.62 MFlops
    132 :   3.010035e-05    32623.66 MFlops    5808.00 MFlops   29587.92 MFlops
    133 :   6.812811e-05    30753.42 MFlops    5896.33 MFlops   28136.89 MFlops
    134 :   6.258488e-05    31452.34 MFlops    5130.29 MFlops   28275.54 MFlops
    135 :   1.001358e-05    30948.11 MFlops    5207.14 MFlops   27945.00 MFlops
    136 :   4.422665e-05    35680.23 MFlops    6165.33 MFlops   32338.92 MFlops
    137 :   3.498793e-05    34284.71 MFlops    6256.33 MFlops   31281.67 MFlops
    138 :   2.908707e-05    34353.88 MFlops    6348.00 MFlops   31405.89 MFlops
    139 :   2.348423e-05    34431.01 MFlops    6440.33 MFlops   31535.43 MFlops
    140 :   1.605749e-04    35869.28 MFlops    5600.00 MFlops   32216.09 MFlops
    141 :   2.479553e-05    33978.44 MFlops    6627.00 MFlops   31288.13 MFlops
    142 :   1.960993e-05    34706.52 MFlops    5761.14 MFlops   31438.49 MFlops
    143 :   3.319979e-05    34201.25 MFlops    5842.57 MFlops   31099.52 MFlops
    144 :   2.045035e-04    39032.47 MFlops    5924.57 MFlops   35036.69 MFlops
    145 :   7.933378e-05    36953.03 MFlops    6007.14 MFlops   33459.14 MFlops
    146 :   1.592636e-04    37049.24 MFlops    6090.29 MFlops   33609.35 MFlops
    147 :   3.385544e-05    37152.32 MFlops    6174.00 MFlops   33764.06 MFlops
    148 :   3.194809e-05    37261.98 MFlops    7301.33 MFlops   34453.17 MFlops
    149 :   6.313324e-04    36754.99 MFlops    6343.14 MFlops   33577.63 MFlops
    150 :   1.627207e-05    36290.32 MFlops    6428.57 MFlops   33260.87 MFlops
    151 :   2.586842e-05    37020.98 MFlops    5700.25 MFlops   33441.47 MFlops
    152 :   1.387596e-04    41073.78 MFlops    6601.14 MFlops   37303.33 MFlops
    153 :   3.850460e-05    40469.80 MFlops    5852.25 MFlops   36336.36 MFlops
    154 :   3.683567e-04    39915.45 MFlops    6776.00 MFlops   36504.04 MFlops
    155 :   9.179115e-06    40041.67 MFlops    6006.25 MFlops   36151.90 MFlops
    156 :   1.049042e-05    40173.71 MFlops    6953.14 MFlops   36851.66 MFlops
    157 :   1.668930e-05    39691.21 MFlops    6162.25 MFlops   36016.80 MFlops
    158 :   7.450581e-05    39246.89 MFlops    6241.00 MFlops   35726.26 MFlops
    159 :   2.956390e-05    39996.81 MFlops    6320.25 MFlops   36404.64 MFlops
    160 :   9.965897e-05    44765.03 MFlops    7314.29 MFlops   40909.80 MFlops
    161 :   2.056360e-05    37095.83 MFlops    4712.91 MFlops   32953.83 MFlops
    162 :   1.435280e-04    36809.77 MFlops    6561.00 MFlops   33962.82 MFlops
    163 :   1.120567e-05    36546.39 MFlops    6642.25 MFlops   33796.58 MFlops
    164 :   3.212690e-05    38692.49 MFlops    6724.00 MFlops   35647.87 MFlops
    165 :   2.002716e-05    37434.38 MFlops    6806.25 MFlops   34650.00 MFlops
    166 :   3.421307e-05    37189.40 MFlops    6889.00 MFlops   34496.03 MFlops
    167 :   6.685853e-04    36963.99 MFlops    6972.25 MFlops   34356.01 MFlops
    168 :   2.605319e-04    40526.77 MFlops    7056.00 MFlops   37413.21 MFlops
    169 :   6.556511e-05    38769.55 MFlops    7140.25 MFlops   35988.95 MFlops
    170 :   2.598763e-05    38992.06 MFlops    7225.00 MFlops   36229.71 MFlops
    171 :   1.050830e-04    38315.79 MFlops    6498.00 MFlops   35332.88 MFlops
    172 :   3.558397e-05    39909.40 MFlops    7396.00 MFlops   37112.54 MFlops
    173 :   3.230572e-05    38784.40 MFlops    6650.89 MFlops   35833.36 MFlops
    174 :   1.871586e-05    39460.85 MFlops    6728.00 MFlops   36454.78 MFlops
    175 :   5.883574e-04    39699.07 MFlops    6805.56 MFlops   36708.75 MFlops
    176 :   7.700920e-05    43789.37 MFlops    6883.56 MFlops   40179.01 MFlops
    177 :   2.180338e-04    41075.80 MFlops    6962.00 MFlops   37974.55 MFlops
    178 :   3.957748e-05    41775.94 MFlops    7040.89 MFlops   38618.21 MFlops
    179 :   4.860163e-04    41113.54 MFlops    7120.22 MFlops   38114.13 MFlops
    180 :   1.387596e-04    42260.87 MFlops    6480.00 MFlops   38752.94 MFlops
    181 :   6.395578e-05    41612.22 MFlops    6552.20 MFlops   38273.17 MFlops
    182 :   2.163649e-05    41433.46 MFlops    6624.80 MFlops   38180.31 MFlops
    183 :   2.521276e-05    41269.27 MFlops    6697.80 MFlops   38097.58 MFlops
    184 :   2.491474e-05    45141.33 MFlops    7523.56 MFlops   41789.25 MFlops
    185 :   3.361702e-05    43072.28 MFlops    7605.56 MFlops   40089.10 MFlops
    186 :   3.867745e-04    43332.36 MFlops    7688.00 MFlops   40362.00 MFlops
    187 :   5.775690e-05    43163.06 MFlops    6993.80 MFlops   39904.56 MFlops
    188 :   4.286766e-04    44745.27 MFlops    7068.80 MFlops   41288.71 MFlops
    189 :   1.178980e-04    44125.94 MFlops    7144.20 MFlops   40824.00 MFlops
    190 :   2.527237e-05    43967.95 MFlops    7220.00 MFlops   40744.44 MFlops
    191 :   1.955032e-05    43413.53 MFlops    7296.20 MFlops   40326.58 MFlops
    192 :   3.594160e-05    49669.39 MFlops    7372.80 MFlops   45641.14 MFlops
    193 :   3.051758e-05    44376.90 MFlops    6772.55 MFlops   40900.86 MFlops
    194 :   3.153086e-05    46357.99 MFlops    6842.91 MFlops   42610.87 MFlops
    195 :   1.543760e-05    45770.83 MFlops    6913.64 MFlops   42178.99 MFlops
    196 :   1.562238e-04    47355.57 MFlops    6984.73 MFlops   43560.02 MFlops
    197 :   1.415014e-04    46335.59 MFlops    7056.18 MFlops   42764.74 MFlops
    198 :   3.724694e-04    46204.71 MFlops    7128.00 MFlops   42710.05 MFlops
    199 :   2.002716e-05    46085.37 MFlops    7200.18 MFlops   42663.48 MFlops
    200 :   2.309084e-04    50314.47 MFlops    7272.73 MFlops   46267.81 MFlops
