From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    102 :   8.821487e-06     4367.11 MFlops    2312.00 MFlops    4258.95 MFlops
    103 :   3.778934e-05      790.11 MFlops    1928.91 MFlops     803.54 MFlops
    104 :   9.655952e-06     3806.65 MFlops    2403.56 MFlops    3745.35 MFlops
    105 :   2.503395e-05     4915.61 MFlops    2205.00 MFlops    4753.29 MFlops
    106 :   1.257658e-05     5089.81 MFlops    2247.20 MFlops    4918.57 MFlops
    107 :   1.591444e-05     5010.40 MFlops    1908.17 MFlops    4797.68 MFlops
    108 :   9.179115e-06     5281.81 MFlops    2120.73 MFlops    5077.27 MFlops
    109 :   5.960464e-06     4743.70 MFlops    1980.17 MFlops    4572.76 MFlops
    110 :   1.472235e-05     5377.78 MFlops    1861.54 MFlops    5120.97 MFlops
    111 :   5.370378e-05     4928.40 MFlops    1760.14 MFlops    4705.51 MFlops
    112 :   1.144409e-05     5090.32 MFlops    2280.73 MFlops    4931.83 MFlops
    113 :   1.201034e-04     5010.06 MFlops    2321.64 MFlops    4864.38 MFlops
    114 :   5.513430e-05     5198.40 MFlops    1999.38 MFlops    4993.54 MFlops
    115 :   1.364946e-05     5120.79 MFlops    2204.17 MFlops    4954.13 MFlops
    116 :   1.764297e-05     5177.10 MFlops    2691.20 MFlops    5059.29 MFlops
    117 :   1.847744e-05     5649.43 MFlops    2488.91 MFlops    5475.60 MFlops
    118 :   2.121925e-05     5795.53 MFlops    2531.64 MFlops    5616.01 MFlops
    119 :   9.655952e-06     6139.01 MFlops    2832.20 MFlops    5967.68 MFlops
    120 :   6.580353e-05     6329.67 MFlops    3200.00 MFlops    6182.20 MFlops
    121 :   3.529787e-04     6453.77 MFlops    3253.56 MFlops    6303.76 MFlops
    122 :   2.971888e-04     5630.54 MFlops    2706.18 MFlops    5488.20 MFlops
    123 :   1.096725e-05     5797.09 MFlops    2521.50 MFlops    5623.17 MFlops
    124 :   2.429485e-04     5912.01 MFlops    3075.20 MFlops    5785.93 MFlops
    125 :   2.831221e-05     6000.38 MFlops    2840.91 MFlops    5847.95 MFlops
    126 :   1.430511e-05     5603.29 MFlops    3528.00 MFlops    5527.68 MFlops
    127 :   1.486540e-04     6931.92 MFlops    3584.22 MFlops    6785.66 MFlops
    128 :   7.504225e-05     7206.71 MFlops    4096.00 MFlops    7083.51 MFlops
    129 :   1.311302e-05     7049.88 MFlops    3328.20 MFlops    6875.15 MFlops
    130 :   2.062321e-05     6687.98 MFlops    3072.73 MFlops    6515.07 MFlops
    131 :   2.813339e-05     6751.02 MFlops    2451.57 MFlops    6495.97 MFlops
    132 :   1.865625e-05     7033.54 MFlops    3168.00 MFlops    6847.86 MFlops
    133 :   1.002550e-04     6970.78 MFlops    2948.17 MFlops    6767.10 MFlops
    134 :   4.494190e-05     7161.02 MFlops    2762.46 MFlops    6919.75 MFlops
    135 :   1.269579e-05     6030.33 MFlops    3037.50 MFlops    5903.87 MFlops
    136 :   5.364418e-05     7727.98 MFlops    3699.20 MFlops    7550.50 MFlops
    137 :   4.720688e-05     7899.70 MFlops    3412.55 MFlops    7683.22 MFlops
    138 :   1.299381e-05     8036.92 MFlops    3462.55 MFlops    7817.19 MFlops
    139 :   1.525879e-05     8028.76 MFlops    3220.17 MFlops    7783.21 MFlops
    140 :   7.315874e-04     7654.11 MFlops    3266.67 MFlops    7444.36 MFlops
    141 :   2.133846e-05     7078.84 MFlops    1988.10 MFlops    6720.34 MFlops
    142 :   3.343821e-05     7370.11 MFlops    2372.24 MFlops    7062.27 MFlops
    143 :   2.187490e-05     4112.81 MFlops    2152.53 MFlops    4037.26 MFlops
    144 :   4.791021e-04     7685.93 MFlops    2592.00 MFlops    7389.56 MFlops
    145 :   9.280443e-05     8162.32 MFlops    2473.53 MFlops    7798.75 MFlops
    146 :   1.111627e-04     8041.70 MFlops    2507.76 MFlops    7699.60 MFlops
