From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    149 :   1.609157e-12    27915.18 MFlops    6343.14 MFlops   26159.32 MFlops
    150 :   2.720046e-14    28481.01 MFlops    6428.57 MFlops   26686.05 MFlops
    151 :   6.372680e-14    28337.05 MFlops    6514.57 MFlops   26601.17 MFlops
    152 :   2.300382e-13    32071.31 MFlops    6601.14 MFlops   29842.67 MFlops
    153 :   4.352074e-14    28090.80 MFlops    5852.25 MFlops   26177.81 MFlops
    154 :   1.186828e-12    28645.21 MFlops    6776.00 MFlops   26981.25 MFlops
    155 :   1.186828e-13    28535.44 MFlops    6006.25 MFlops   26638.25 MFlops
    156 :   2.309264e-14    30130.29 MFlops    6084.00 MFlops   28039.30 MFlops
    157 :   9.614531e-14    28665.87 MFlops    5477.56 MFlops   26557.85 MFlops
    158 :   3.930190e-14    29881.15 MFlops    6241.00 MFlops   27911.14 MFlops
    159 :   7.305268e-14    29775.40 MFlops    6320.25 MFlops   27860.69 MFlops
    160 :   1.827427e-13    33711.93 MFlops    6400.00 MFlops   31256.93 MFlops
    161 :   6.505907e-14    28682.34 MFlops    6480.25 MFlops   26990.76 MFlops
    162 :   5.503376e-13    30476.90 MFlops    6561.00 MFlops   28582.57 MFlops
    163 :   9.003909e-14    30074.63 MFlops    6642.25 MFlops   28272.14 MFlops
    164 :   1.902922e-13    31619.67 MFlops    6724.00 MFlops   29647.74 MFlops
    165 :   4.496403e-14    30250.00 MFlops    6050.00 MFlops   28233.33 MFlops
    166 :   1.072475e-13    31438.46 MFlops    6123.56 MFlops   29289.08 MFlops
    167 :   1.340261e-12    30440.93 MFlops    6197.56 MFlops   28475.26 MFlops
    168 :   3.843592e-13    35517.84 MFlops    6272.00 MFlops   32832.00 MFlops
    169 :   1.629807e-13    29795.12 MFlops    6346.89 MFlops   27991.41 MFlops
    170 :   5.906386e-14    30610.59 MFlops    6422.22 MFlops   28733.91 MFlops
    171 :   1.566525e-13    28986.73 MFlops    6498.00 MFlops   27354.48 MFlops
    172 :   4.707346e-14    32618.26 MFlops    6574.22 MFlops   30543.95 MFlops
    173 :   5.806466e-14    30547.00 MFlops    5985.80 MFlops   28550.16 MFlops
    174 :   7.283063e-14    31927.42 MFlops    6728.00 MFlops   30021.58 MFlops
    175 :   1.314504e-12    32188.44 MFlops    6125.00 MFlops   30034.44 MFlops
    176 :   4.174439e-14    37469.25 MFlops    6883.56 MFlops   34872.35 MFlops
    177 :   1.754152e-14    31329.00 MFlops    6962.00 MFlops   29602.20 MFlops
    178 :   9.126033e-14    32412.37 MFlops    6336.80 MFlops   30342.88 MFlops
    179 :   3.813616e-13    31599.66 MFlops    6408.20 MFlops   29676.65 MFlops
    180 :   1.321165e-13    34407.08 MFlops    6480.00 MFlops   32136.59 MFlops
    181 :   4.951595e-14    32402.96 MFlops    6552.20 MFlops   30444.57 MFlops
    182 :   4.152234e-14    33492.04 MFlops    6624.80 MFlops   31425.33 MFlops
