From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    122 :   1.440772e-05    18203.99 MFlops    4961.33 MFlops   17108.05 MFlops
    123 :   7.528444e-09    16111.40 MFlops    4841.28 MFlops   15265.30 MFlops
    124 :   9.705345e-06    18158.32 MFlops    4920.32 MFlops   17073.24 MFlops
    125 :   7.385947e-06    18147.50 MFlops    4807.69 MFlops   17039.40 MFlops
    126 :   1.184695e-05    18782.87 MFlops    5080.32 MFlops   17674.25 MFlops
    127 :   2.448493e-05    18770.98 MFlops    5161.28 MFlops   17694.26 MFlops
    128 :   3.896534e-06    18157.16 MFlops    5461.33 MFlops   17239.39 MFlops
    129 :   1.032891e-05    18830.61 MFlops    4930.67 MFlops   17696.77 MFlops
    130 :   6.405679e-06    17540.92 MFlops    4828.57 MFlops   16557.64 MFlops
    131 :   5.614111e-06    10318.26 MFlops    4903.14 MFlops   10069.29 MFlops
    132 :   1.386929e-07    20241.74 MFlops    4978.29 MFlops   18950.57 MFlops
    133 :   6.256837e-06    12935.46 MFlops    4879.72 MFlops   12480.95 MFlops
    134 :   2.293539e-06    20369.13 MFlops    4953.38 MFlops   19069.55 MFlops
    135 :   1.919752e-06    20894.90 MFlops    4860.00 MFlops   19496.51 MFlops
    136 :   6.405065e-06    21430.94 MFlops    4932.27 MFlops   19987.90 MFlops
    137 :   5.676970e-06    20905.31 MFlops    5005.07 MFlops   19572.89 MFlops
    138 :   3.285318e-05    24166.18 MFlops    8961.88 MFlops   23324.25 MFlops
    139 :   1.918329e-05    27230.61 MFlops    8587.11 MFlops   26036.37 MFlops
    140 :   7.511773e-06    27928.75 MFlops    8711.11 MFlops   26693.33 MFlops
    141 :   6.547632e-06    28102.47 MFlops    8370.95 MFlops   26787.03 MFlops
    142 :   4.438462e-05    29825.92 MFlops   10082.00 MFlops   28664.51 MFlops
    143 :   4.241329e-07    29205.56 MFlops    9623.06 MFlops   28033.37 MFlops
    144 :   9.025181e-06    26366.30 MFlops    9758.12 MFlops   25481.23 MFlops
    145 :   9.651488e-06    30677.99 MFlops    9344.44 MFlops   29321.08 MFlops
    146 :   1.144344e-05    30851.41 MFlops   10031.06 MFlops   29613.84 MFlops
    147 :   2.158164e-05    27864.24 MFlops    9604.00 MFlops   26843.48 MFlops
    148 :   2.450355e-05    30984.87 MFlops    9222.74 MFlops   29597.35 MFlops
    149 :   9.105065e-06    28733.54 MFlops    9867.11 MFlops   27688.63 MFlops
    150 :   5.863799e-06    14018.69 MFlops   10000.00 MFlops   13909.09 MFlops
    151 :   1.441786e-06    32328.18 MFlops   10133.78 MFlops   31005.33 MFlops
    152 :   1.736912e-05    32292.49 MFlops    9728.00 MFlops   30905.03 MFlops
    153 :   8.991256e-06    32820.87 MFlops    9856.42 MFlops   31413.37 MFlops
    154 :   4.150030e-06    32464.57 MFlops   10540.44 MFlops   31223.58 MFlops
    155 :   2.826930e-06    32773.38 MFlops   10677.78 MFlops   31534.37 MFlops
    156 :   2.166121e-06    31936.20 MFlops   12168.00 MFlops   30986.38 MFlops
    157 :   1.417077e-05    33505.57 MFlops   11599.53 MFlops   32359.71 MFlops
    158 :   4.331728e-06    31873.23 MFlops   11747.76 MFlops   30887.25 MFlops
    159 :   2.967872e-06    34137.40 MFlops   11236.00 MFlops   32895.76 MFlops
    160 :   2.909724e-06    35463.20 MFlops   10778.95 MFlops   34028.95 MFlops
    161 :   2.251764e-05    34669.00 MFlops   10914.11 MFlops   33341.52 MFlops
    162 :   1.185962e-06    37665.81 MFlops   11664.00 MFlops   36198.62 MFlops
    163 :   8.072998e-06    37495.65 MFlops   10121.52 MFlops   35748.36 MFlops
    164 :   9.232310e-06    26023.27 MFlops    5379.20 MFlops   24344.89 MFlops
    165 :   3.221698e-05    26502.21 MFlops    5584.62 MFlops   24840.73 MFlops
    166 :   1.056050e-05    27723.01 MFlops    5376.78 MFlops   25818.23 MFlops
    167 :   1.720612e-05    26999.79 MFlops    3380.48 MFlops   24036.15 MFlops
    168 :   1.663331e-05    27912.48 MFlops    5250.98 MFlops   25947.87 MFlops
    169 :   3.363340e-06    27097.88 MFlops    5440.19 MFlops   25338.45 MFlops
    170 :   1.340231e-06    28235.63 MFlops    5504.76 MFlops   26348.88 MFlops
    171 :   1.606142e-05    25992.00 MFlops    5316.55 MFlops   24358.75 MFlops
    172 :   3.800378e-06    29056.09 MFlops    5635.05 MFlops   27123.51 MFlops
    173 :   8.656636e-06    28468.55 MFlops    5441.64 MFlops   26553.27 MFlops
    174 :   1.139030e-05    26307.24 MFlops    5504.73 MFlops   24723.65 MFlops
    175 :   9.983215e-06    29166.67 MFlops    5568.18 MFlops   27222.22 MFlops
    176 :   5.655861e-05    28618.25 MFlops    5762.98 MFlops   26834.62 MFlops
    177 :   3.845714e-05    29813.08 MFlops    5569.60 MFlops   27796.52 MFlops
    178 :   3.041674e-05    30199.48 MFlops    5760.73 MFlops   28215.52 MFlops
    179 :   4.817046e-06    30285.62 MFlops    5696.18 MFlops   28273.76 MFlops
    180 :   2.047353e-06    30494.12 MFlops    5890.91 MFlops   28540.07 MFlops
    181 :   7.194075e-06    31066.10 MFlops    5824.18 MFlops   29015.76 MFlops
    182 :   1.040809e-05    16590.49 MFlops   13249.60 MFlops   16522.93 MFlops
    183 :   5.338099e-06    10356.55 MFlops   14100.63 MFlops   10401.09 MFlops
    184 :   1.135717e-05    45388.01 MFlops   14255.16 MFlops   43851.58 MFlops
    185 :   1.978730e-05    43741.80 MFlops   14410.53 MFlops   42365.76 MFlops
    186 :   4.339683e-06    45516.22 MFlops   14566.74 MFlops   44031.27 MFlops
    187 :   4.536005e-07    44712.50 MFlops   14723.79 MFlops   43319.38 MFlops
    188 :   6.285493e-06    40454.62 MFlops   14137.60 MFlops   39305.41 MFlops
    189 :   6.982157e-05    44562.83 MFlops   15040.42 MFlops   43236.77 MFlops
    190 :   1.787278e-05    46072.21 MFlops   15200.00 MFlops   44662.18 MFlops
    191 :   2.428873e-05    43617.35 MFlops   13897.52 MFlops   42221.11 MFlops
    192 :   7.649598e-06    42224.54 MFlops   15521.68 MFlops   41135.79 MFlops
    193 :   3.538474e-06    20883.24 MFlops   14190.10 MFlops   20733.56 MFlops
    194 :   1.166902e-05    46803.74 MFlops   15054.40 MFlops   45347.35 MFlops
    195 :   8.202283e-06    32467.98 MFlops    5530.91 MFlops   30236.75 MFlops
    196 :   8.241301e-06    33745.82 MFlops    5910.15 MFlops   31508.64 MFlops
    197 :   2.422707e-05    30937.27 MFlops    5857.96 MFlops   29070.41 MFlops
    198 :   6.743924e-06    34442.12 MFlops    5917.58 MFlops   32130.50 MFlops
    199 :   1.488137e-05    34282.11 MFlops    5657.29 MFlops   31886.01 MFlops
    200 :   1.813492e-05    35145.52 MFlops    5818.18 MFlops   32708.96 MFlops
