From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    110 :   1.480691e-06    19940.07 MFlops    7446.15 MFlops   19089.70 MFlops
    111 :   2.370087e-06    19929.05 MFlops    7582.15 MFlops   19110.12 MFlops
    112 :   1.039159e-05    20251.21 MFlops    7719.38 MFlops   19428.42 MFlops
    113 :   1.700071e-05    20251.19 MFlops    7296.57 MFlops   19362.14 MFlops
    114 :   2.320937e-05    20577.00 MFlops    7997.54 MFlops   19779.28 MFlops
    115 :   4.262408e-06    20692.18 MFlops    7557.14 MFlops   19816.51 MFlops
    116 :   7.882279e-06    20916.53 MFlops    8280.62 MFlops   20141.69 MFlops
    117 :   7.672840e-06    20936.12 MFlops    8424.00 MFlops   20186.54 MFlops
    118 :   7.890990e-07    21166.27 MFlops    7956.57 MFlops   20329.46 MFlops
    119 :   2.408422e-05    21297.43 MFlops    8092.00 MFlops   20475.76 MFlops
    120 :   2.235981e-05    21333.33 MFlops    8228.57 MFlops   20535.65 MFlops
    121 :   1.262100e-05    21376.30 MFlops    8366.29 MFlops   20601.24 MFlops
    122 :   2.861242e-05    21714.18 MFlops    7938.13 MFlops   20845.94 MFlops
    123 :   3.637885e-07    21297.48 MFlops    8068.80 MFlops   20497.35 MFlops
    124 :   4.115645e-06    21915.22 MFlops    8200.53 MFlops   21082.34 MFlops
    125 :   5.776822e-06    22163.12 MFlops    8333.33 MFlops   21333.33 MFlops
    126 :   1.118168e-05    22507.75 MFlops    8467.20 MFlops   21672.00 MFlops
    127 :   2.220710e-05    22478.83 MFlops    8064.50 MFlops   21588.37 MFlops
    128 :   1.789066e-05    22459.46 MFlops    8192.00 MFlops   21598.03 MFlops
    129 :   3.042340e-06    21849.25 MFlops    7831.06 MFlops   20995.10 MFlops
    130 :   5.571520e-05    22533.33 MFlops    7115.79 MFlops   21483.39 MFlops
    131 :   7.274667e-06    22203.37 MFlops    7627.11 MFlops   21292.35 MFlops
    132 :   1.604363e-05    22631.91 MFlops    7744.00 MFlops   21704.64 MFlops
    133 :   3.275730e-07    22247.16 MFlops    7448.00 MFlops   21312.99 MFlops
    134 :   2.122075e-05    22513.25 MFlops    7980.44 MFlops   21649.92 MFlops
    135 :   6.581887e-06    22392.49 MFlops    7673.68 MFlops   21496.15 MFlops
    136 :   2.716539e-06    22893.80 MFlops    7398.40 MFlops   21903.68 MFlops
    137 :   3.056789e-06    22630.17 MFlops    7902.74 MFlops   21761.16 MFlops
    138 :   3.702010e-05    22248.23 MFlops    7617.60 MFlops   21374.76 MFlops
    139 :   3.022302e-05    22807.80 MFlops    7025.82 MFlops   21774.46 MFlops
    140 :   6.766025e-07    22866.67 MFlops    7466.67 MFlops   21918.28 MFlops
    141 :   4.017390e-05    22583.85 MFlops    7952.40 MFlops   21750.15 MFlops
    142 :   6.248933e-06    22724.51 MFlops    7681.52 MFlops   21839.63 MFlops
    143 :   1.332275e-05    22407.72 MFlops    7790.10 MFlops   21575.82 MFlops
    144 :   1.561568e-05    23558.06 MFlops    6912.00 MFlops   22454.45 MFlops
    145 :   1.501186e-05    23227.62 MFlops    6728.00 MFlops   22127.64 MFlops
    146 :   2.121222e-05    23576.79 MFlops    6558.77 MFlops   22406.24 MFlops
    147 :   3.831316e-06    23271.23 MFlops    6914.88 MFlops   22220.05 MFlops
    148 :   1.908182e-05    24013.27 MFlops    7009.28 MFlops   22909.12 MFlops
    149 :   1.237068e-05    23841.07 MFlops    6831.08 MFlops   22724.26 MFlops
    150 :   1.001203e-05    23809.52 MFlops    6923.08 MFlops   22722.77 MFlops
    151 :   2.248512e-05    24034.56 MFlops    6755.85 MFlops   22893.91 MFlops
    152 :   7.629915e-06    24198.50 MFlops    7108.92 MFlops   23122.65 MFlops
    153 :   2.907662e-05    24118.36 MFlops    6936.00 MFlops   23021.62 MFlops
    154 :   8.429932e-06    24656.63 MFlops    7026.96 MFlops   23528.67 MFlops
    155 :   1.534263e-05    24398.85 MFlops    7118.52 MFlops   23323.81 MFlops
    156 :   4.327359e-06    24336.00 MFlops    7210.67 MFlops   23292.24 MFlops
    157 :   4.715377e-06    24570.75 MFlops    7303.41 MFlops   23527.76 MFlops
    158 :   3.909204e-06    24748.62 MFlops    7396.74 MFlops   23712.12 MFlops
    159 :   3.937205e-06    25044.73 MFlops    7223.14 MFlops   23950.42 MFlops
    160 :   1.954713e-05    25342.61 MFlops    7314.29 MFlops   24242.85 MFlops
    161 :   2.299762e-05    24896.53 MFlops    7406.00 MFlops   23865.51 MFlops
    162 :   3.522572e-05    25363.33 MFlops    7498.29 MFlops   24310.23 MFlops
    163 :   2.547433e-07    25437.57 MFlops    7329.38 MFlops   24350.33 MFlops
    164 :   1.742663e-06    25794.99 MFlops    7419.59 MFlops   24696.26 MFlops
    165 :   6.626386e-06    25272.15 MFlops    7025.81 MFlops   24152.08 MFlops
    166 :   5.891121e-05    25898.35 MFlops    7601.66 MFlops   24837.14 MFlops
    167 :   1.530804e-05    25874.79 MFlops    7693.52 MFlops   24838.93 MFlops
    168 :   4.536144e-05    26017.19 MFlops    7785.93 MFlops   24990.57 MFlops
    169 :   9.429841e-07    26214.85 MFlops    7616.27 MFlops   25143.91 MFlops
    170 :   1.239873e-05    26520.92 MFlops    7706.67 MFlops   25443.77 MFlops
    171 :   1.683988e-05    26561.55 MFlops    7797.60 MFlops   25503.43 MFlops
    172 :   1.868048e-05    26763.70 MFlops    7889.07 MFlops   25709.25 MFlops
    173 :   2.343357e-06    26552.39 MFlops    8256.28 MFlops   25585.93 MFlops
    174 :   4.785227e-05    26963.65 MFlops    8073.60 MFlops   25935.16 MFlops
    175 :   2.182365e-05    26864.04 MFlops    8166.67 MFlops   25865.95 MFlops
    176 :   1.122499e-04    27327.20 MFlops    8260.27 MFlops   26309.39 MFlops
    177 :   4.205857e-07    26934.95 MFlops    8354.40 MFlops   25972.23 MFlops
    178 :   5.080285e-05    27394.06 MFlops    8449.07 MFlops   26412.45 MFlops
    179 :   1.644904e-05    27458.24 MFlops    8268.65 MFlops   26446.54 MFlops
    180 :   6.155446e-06    27821.11 MFlops    8100.00 MFlops   26753.30 MFlops
    181 :   2.090359e-05    27596.24 MFlops    8190.25 MFlops   26569.80 MFlops
    182 :   1.143004e-05    28105.21 MFlops    8281.00 MFlops   27054.92 MFlops
    183 :   1.036238e-06    27983.96 MFlops    8642.32 MFlops   27009.01 MFlops
    184 :   1.078806e-05    28108.31 MFlops    8737.03 MFlops   27142.86 MFlops
    185 :   9.215591e-06    28234.67 MFlops    8832.26 MFlops   27278.43 MFlops
    186 :   5.607492e-05    28599.36 MFlops    8928.00 MFlops   27632.94 MFlops
    187 :   2.656178e-05    27723.17 MFlops    9024.26 MFlops   26844.89 MFlops
    188 :   3.530048e-06    28858.51 MFlops    9121.03 MFlops   27909.89 MFlops
    189 :   4.341855e-05    28805.41 MFlops    8659.64 MFlops   27795.06 MFlops
    190 :   5.457798e-05    29218.32 MFlops    8751.52 MFlops   28193.42 MFlops
    191 :   3.814200e-05    29261.40 MFlops    8843.88 MFlops   28252.75 MFlops
    192 :   1.929488e-05    29583.65 MFlops    8936.73 MFlops   28568.23 MFlops
    193 :   3.391808e-05    29046.69 MFlops    8764.47 MFlops   28053.04 MFlops
    194 :   1.056873e-05    29278.73 MFlops    8602.51 MFlops   28244.92 MFlops
    195 :   4.544065e-06    29163.72 MFlops    8691.43 MFlops   28158.77 MFlops
    196 :   1.658949e-05    29484.23 MFlops    9039.06 MFlops   28512.01 MFlops
    197 :   2.899943e-05    28755.52 MFlops    8870.63 MFlops   27820.07 MFlops
    198 :   8.430753e-05    29655.75 MFlops    8960.91 MFlops   28667.59 MFlops
    199 :   1.131261e-06    29515.35 MFlops    8800.22 MFlops   28518.37 MFlops
    200 :   4.241152e-05    29712.16 MFlops    9142.86 MFlops   28756.09 MFlops
