From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    109 :   6.139533e-14     5048.85 MFlops    1827.85 MFlops    4821.28 MFlops
    110 :   1.398881e-14     5129.09 MFlops    1861.54 MFlops    4900.72 MFlops
    111 :   1.494360e-13     4748.72 MFlops    1760.14 MFlops    4545.61 MFlops
    112 :   3.863576e-14     5352.11 MFlops    1929.85 MFlops    5115.46 MFlops
    113 :   1.052491e-13     3472.68 MFlops    1824.14 MFlops    3393.37 MFlops
    114 :   1.099121e-13     5397.25 MFlops    1856.57 MFlops    5145.62 MFlops
    115 :   2.098322e-14     5422.01 MFlops    1763.33 MFlops    5150.33 MFlops
    116 :   4.007905e-13     5564.69 MFlops    1794.13 MFlops    5284.70 MFlops
    117 :   2.287059e-14     5834.66 MFlops    1825.20 MFlops    5530.91 MFlops
    118 :   2.065015e-14     5795.53 MFlops    1856.53 MFlops    5505.90 MFlops
    119 :   1.356693e-13     5975.74 MFlops    1666.00 MFlops    5618.35 MFlops
    120 :   1.392220e-13     4589.64 MFlops    1371.43 MFlops    4341.18 MFlops
    121 :   2.756684e-13     5964.85 MFlops    1952.13 MFlops    5682.27 MFlops
    122 :   9.785506e-13     6083.24 MFlops    1984.53 MFlops    5795.95 MFlops
    123 :   3.219647e-14     6141.48 MFlops    1779.88 MFlops    5802.90 MFlops
    124 :   2.137179e-13     6292.49 MFlops    2050.13 MFlops    5999.24 MFlops
    125 :   5.817569e-14     5470.94 MFlops    1953.12 MFlops    5249.34 MFlops
    126 :   3.597123e-14     6411.46 MFlops    1867.76 MFlops    6068.16 MFlops
    127 :   3.222977e-13     6293.04 MFlops    1897.53 MFlops    5973.70 MFlops
    128 :   5.506706e-14     6533.18 MFlops    1927.53 MFlops    6194.24 MFlops
    129 :   7.949197e-14     6249.46 MFlops    1849.00 MFlops    5928.78 MFlops
    130 :   7.083223e-14     6027.43 MFlops    1778.95 MFlops    5719.34 MFlops
    131 :   5.595524e-14     6193.09 MFlops    1634.38 MFlops    5829.08 MFlops
    132 :   1.270095e-13     7479.57 MFlops    3484.80 MFlops    7293.77 MFlops
    133 :   2.309264e-13     8387.30 MFlops    3537.80 MFlops    8141.13 MFlops
    134 :   8.038015e-14     8226.00 MFlops    3591.20 MFlops    7999.91 MFlops
    135 :   2.242651e-14     8284.09 MFlops    3313.64 MFlops    8022.49 MFlops
    136 :   8.970602e-14     7873.10 MFlops    4110.22 MFlops    7720.55 MFlops
    137 :   3.874678e-14     8657.75 MFlops    4170.89 MFlops    8462.67 MFlops
    138 :   8.348877e-14     8760.24 MFlops    3808.80 MFlops    8524.46 MFlops
    139 :   7.038814e-14     8819.77 MFlops    3512.91 MFlops    8546.98 MFlops
    140 :   8.717471e-13     9101.16 MFlops    3920.00 MFlops    8855.61 MFlops
    141 :   5.684342e-14     9071.91 MFlops    3976.20 MFlops    8836.00 MFlops
    142 :   2.731149e-14     9544.29 MFlops    4032.80 MFlops    9281.84 MFlops
    143 :   1.360023e-13     9372.46 MFlops    3718.00 MFlops    9088.44 MFlops
    144 :   1.496359e-12     9570.46 MFlops    3770.18 MFlops    9279.12 MFlops
    145 :   4.418688e-14     9541.86 MFlops    3822.73 MFlops    9261.01 MFlops
    146 :   7.605028e-14     8468.40 MFlops    4263.20 MFlops    8303.49 MFlops
    147 :   6.172840e-14     9758.90 MFlops    3601.50 MFlops    9436.24 MFlops
    148 :   8.015810e-14     9959.42 MFlops    4380.80 MFlops    9713.67 MFlops
    149 :   2.002842e-12    10069.86 MFlops    3700.17 MFlops    9738.97 MFlops
    150 :   2.975398e-14    10135.14 MFlops    4090.91 MFlops    9849.79 MFlops
    151 :   8.248957e-14     9979.57 MFlops    3800.17 MFlops    9673.15 MFlops
    152 :   1.736389e-13    10223.60 MFlops    4200.73 MFlops    9947.56 MFlops
    153 :   3.974598e-14    10291.89 MFlops    4256.18 MFlops   10018.67 MFlops
    154 :   1.130207e-13    10361.03 MFlops    3952.67 MFlops   10049.70 MFlops
    155 :   7.438494e-14    10091.80 MFlops    4368.18 MFlops    9846.82 MFlops
    156 :   3.508305e-14     8298.18 MFlops    1738.29 MFlops    7746.59 MFlops
    157 :   3.763656e-14     8865.73 MFlops    1825.85 MFlops    8268.01 MFlops
    158 :   3.830269e-14     9391.22 MFlops    1849.19 MFlops    8727.91 MFlops
    159 :   2.886580e-14     6666.13 MFlops    1685.40 MFlops    6320.25 MFlops
    160 :   3.259615e-13     9649.00 MFlops    1969.23 MFlops    9002.80 MFlops
    161 :   6.195044e-14     9694.03 MFlops    1920.07 MFlops    9025.57 MFlops
    162 :   6.450396e-14     9773.63 MFlops    1944.00 MFlops    9106.75 MFlops
    163 :   5.839773e-14     9721.09 MFlops    1832.34 MFlops    9019.33 MFlops
    164 :   9.003909e-14     9516.60 MFlops    1992.30 MFlops    8911.97 MFlops
    165 :   5.306866e-14     9567.89 MFlops    2016.67 MFlops    8968.24 MFlops
    166 :   1.216804e-13     9998.46 MFlops    2041.19 MFlops    9351.33 MFlops
