From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    186x186 :     6919.20 MFlops   0.000010 sec
    187x187 :     6993.80 MFlops   0.000010 sec
    188x188 :    10098.29 MFlops   0.000007 sec
    189x189 :    10206.00 MFlops   0.000007 sec
    190x190 :    12033.33 MFlops   0.000006 sec
    191x191 :    10423.14 MFlops   0.000007 sec
    192x192 :    10532.57 MFlops   0.000007 sec
    193x193 :     6772.55 MFlops   0.000011 sec
    194x194 :     7527.20 MFlops   0.000010 sec
    195x195 :     6913.64 MFlops   0.000011 sec
    196x196 :     4519.53 MFlops   0.000017 sec
    197x197 :     4312.11 MFlops   0.000018 sec
    198x198 :     4356.00 MFlops   0.000018 sec
    199x199 :     4400.11 MFlops   0.000018 sec
    200x200 :     4705.88 MFlops   0.000017 sec
