From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 187x187 :   47002.36 MFlops   0.001484 s
 188x188 :   48281.00 MFlops   0.001468 s
 189x189 :   54267.92 MFlops   0.001327 s
 190x190 :   58157.92 MFlops   0.001258 s
 191x191 :   59128.05 MFlops   0.001257 s
 192x192 :   58982.40 MFlops   0.001280 s
 193x193 :   59260.65 MFlops   0.001294 s
 194x194 :   29136.34 MFlops   0.002673 s
 195x195 :   46911.03 MFlops   0.001686 s
 196x196 :   47271.95 MFlops   0.001699 s
 197x197 :   45712.25 MFlops   0.001784 s
 198x198 :   24767.83 MFlops   0.003343 s
 199x199 :   47679.93 MFlops   0.001763 s
 200x200 :   48929.66 MFlops   0.001744 s
