From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    152 :    15532.66 MFlops :       0.01 Sec : 5168
    153 :    16247.92 MFlops :       0.01 Sec : 5202
    154 :    14674.82 MFlops :       0.01 Sec : 5236
    155 :    15551.09 MFlops :       0.01 Sec : 5270
    156 :    15189.13 MFlops :       0.01 Sec : 5304
    157 :    15615.98 MFlops :       0.01 Sec : 5338
    158 :    16324.07 MFlops :       0.01 Sec : 5372
    159 :    16265.28 MFlops :       0.01 Sec : 5406
    160 :    16410.18 MFlops :       0.01 Sec : 5440
    161 :    16686.79 MFlops :       0.01 Sec : 5474
    162 :    15817.82 MFlops :       0.01 Sec : 5508
    163 :    16607.71 MFlops :       0.01 Sec : 5542
    164 :    17011.89 MFlops :       0.01 Sec : 5576
    165 :    15672.14 MFlops :       0.01 Sec : 5610
    166 :    15340.88 MFlops :       0.01 Sec : 5644
    167 :    16527.09 MFlops :       0.01 Sec : 5678
    168 :    16511.99 MFlops :       0.01 Sec : 5712
    169 :    15795.41 MFlops :       0.01 Sec : 5746
    170 :    14684.90 MFlops :       0.01 Sec : 5780
    171 :    16079.09 MFlops :       0.01 Sec : 5814
    172 :    15861.11 MFlops :       0.01 Sec : 5848
    173 :    15139.29 MFlops :       0.01 Sec : 5882
    174 :    16510.78 MFlops :       0.01 Sec : 5916
    175 :    17844.25 MFlops :       0.01 Sec : 5950
    176 :    17632.39 MFlops :       0.01 Sec : 5984
    177 :    17005.12 MFlops :       0.01 Sec : 6018
    178 :    17037.02 MFlops :       0.01 Sec : 6052
    179 :    16889.77 MFlops :       0.01 Sec : 6086
    180 :    17124.63 MFlops :       0.01 Sec : 6120
    181 :    16766.55 MFlops :       0.01 Sec : 6154
    182 :    17289.21 MFlops :       0.01 Sec : 6188
    183 :    16657.69 MFlops :       0.01 Sec : 6222
    184 :    16105.93 MFlops :       0.01 Sec : 6256
    185 :    18065.85 MFlops :       0.01 Sec : 6290
    186 :    18082.15 MFlops :       0.01 Sec : 6324
    187 :    17023.65 MFlops :       0.01 Sec : 6358
    188 :    17579.80 MFlops :       0.01 Sec : 6392
    189 :    16597.66 MFlops :       0.01 Sec : 6426
    190 :    17326.82 MFlops :       0.01 Sec : 6460
    191 :    18427.49 MFlops :       0.01 Sec : 6494
    192 :    18506.53 MFlops :       0.01 Sec : 6528
    193 :    18512.26 MFlops :       0.01 Sec : 6562
    194 :    17933.34 MFlops :       0.01 Sec : 6596
    195 :    17934.38 MFlops :       0.01 Sec : 6630
    196 :    18678.41 MFlops :       0.01 Sec : 6664
    197 :    18308.56 MFlops :       0.01 Sec : 6698
    198 :    17926.83 MFlops :       0.01 Sec : 6732
    199 :    16995.35 MFlops :       0.01 Sec : 6766
    200 :    18637.41 MFlops :       0.01 Sec : 6800
