From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    180 :    13491.11 MFlops :       0.00 Sec : 11520
    181 :    12907.97 MFlops :       0.00 Sec : 11584
    182 :    13476.89 MFlops :       0.00 Sec : 11648
    183 :    15126.64 MFlops :       0.00 Sec : 11712
    184 :    15262.83 MFlops :       0.00 Sec : 11776
    185 :    15570.83 MFlops :       0.00 Sec : 11840
    186 :    13805.37 MFlops :       0.00 Sec : 11904
    187 :    13719.24 MFlops :       0.00 Sec : 11968
    188 :    13745.38 MFlops :       0.00 Sec : 12032
    189 :    13283.39 MFlops :       0.00 Sec : 12096
    190 :    13950.31 MFlops :       0.00 Sec : 12160
    191 :    14107.21 MFlops :       0.00 Sec : 12224
    192 :    15852.68 MFlops :       0.00 Sec : 12288
    193 :    16378.19 MFlops :       0.00 Sec : 12352
    194 :    16056.07 MFlops :       0.00 Sec : 12416
    195 :    13603.31 MFlops :       0.00 Sec : 12480
    196 :    16531.06 MFlops :       0.00 Sec : 12544
    197 :    16353.22 MFlops :       0.00 Sec : 12608
    198 :    15435.60 MFlops :       0.00 Sec : 12672
    199 :    16616.18 MFlops :       0.00 Sec : 12736
    200 :    14360.81 MFlops :       0.00 Sec : 12800
