From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    125 :   3.483006e-05    24920.26 MFlops    9615.38 MFlops   24024.02 MFlops
    126 :   4.670761e-06    25645.85 MFlops    7471.06 MFlops   24272.64 MFlops
    127 :   1.532070e-05    25172.14 MFlops    9925.54 MFlops   24310.38 MFlops
    128 :   1.314532e-06    24966.10 MFlops    8192.00 MFlops   23847.82 MFlops
    129 :   5.673024e-06    21201.87 MFlops    7006.74 MFlops   20268.62 MFlops
    130 :   1.052506e-05    22620.33 MFlops   10400.00 MFlops   22036.27 MFlops
    131 :   1.623030e-06    21799.67 MFlops   10560.62 MFlops   21292.35 MFlops
    132 :   1.467757e-05    24730.84 MFlops    8199.53 MFlops   23670.34 MFlops
    133 :   5.568725e-06    20637.17 MFlops   10885.54 MFlops   20237.26 MFlops
    134 :   2.235183e-05    23247.38 MFlops   10260.57 MFlops   22620.43 MFlops
    135 :   8.040684e-06    24300.00 MFlops    9112.50 MFlops   23450.35 MFlops
    136 :   1.865115e-06    23956.72 MFlops   11382.15 MFlops   23398.81 MFlops
    137 :   2.600019e-06    24229.47 MFlops   11550.15 MFlops   23672.61 MFlops
    138 :   5.337930e-06    22177.82 MFlops    9522.00 MFlops   21567.90 MFlops
    139 :   7.062632e-06    25854.33 MFlops   11040.57 MFlops   25141.64 MFlops
    140 :   3.695253e-06    25495.93 MFlops   12061.54 MFlops   24913.78 MFlops
    141 :   1.965867e-05    21667.41 MFlops    9940.50 MFlops   21147.66 MFlops
    142 :   3.594957e-05    27866.55 MFlops   10082.00 MFlops   26885.33 MFlops
    143 :   1.147490e-05    26433.51 MFlops   11685.14 MFlops   25765.30 MFlops
    144 :   3.011821e-05    26991.95 MFlops   11849.14 MFlops   26305.86 MFlops
    145 :   2.251776e-05    27189.52 MFlops   10512.50 MFlops   26342.43 MFlops
    146 :   7.300274e-06    28132.30 MFlops   10658.00 MFlops   27233.30 MFlops
    147 :   5.257080e-06    28520.97 MFlops   10804.50 MFlops   27615.34 MFlops
    148 :   7.932299e-05    29009.32 MFlops   11682.13 MFlops   28178.95 MFlops
    149 :   4.948181e-06    29502.33 MFlops   11100.50 MFlops   28567.64 MFlops
    150 :   6.502768e-06    28662.42 MFlops   11250.00 MFlops   27818.18 MFlops
    151 :   7.822829e-06    29146.68 MFlops   10729.88 MFlops   28203.65 MFlops
    152 :   1.540286e-05    29173.90 MFlops   11552.00 MFlops   28337.25 MFlops
    153 :   3.116261e-05    29753.50 MFlops   11704.50 MFlops   28896.57 MFlops
    154 :   1.497862e-05    29784.01 MFlops   11858.00 MFlops   28947.81 MFlops
    155 :   3.605486e-06    31930.33 MFlops   11305.88 MFlops   30861.38 MFlops
    156 :   2.815660e-06    30678.11 MFlops   12168.00 MFlops   29822.15 MFlops
    157 :   9.535340e-06    31655.57 MFlops   11599.53 MFlops   30661.54 MFlops
    158 :   4.530297e-06    29628.63 MFlops   11747.76 MFlops   28811.50 MFlops
    159 :   3.248187e-06    29610.90 MFlops   11896.94 MFlops   28816.34 MFlops
    160 :   1.857324e-05    29600.72 MFlops   11377.78 MFlops   28753.14 MFlops
    161 :   3.095701e-05    31172.97 MFlops   10914.11 MFlops   30149.25 MFlops
    162 :   8.636620e-06    31146.73 MFlops   10497.60 MFlops   30071.25 MFlops
    163 :   2.259867e-05    31044.78 MFlops   10627.60 MFlops   30003.09 MFlops
    164 :   5.570394e-06    30472.84 MFlops   11324.63 MFlops   29574.53 MFlops
    165 :   3.057870e-05    31523.68 MFlops   10890.00 MFlops   30492.00 MFlops
    166 :   2.252390e-05    30648.55 MFlops   11602.53 MFlops   29780.75 MFlops
    167 :   1.550267e-05    29927.47 MFlops   11155.60 MFlops   29064.40 MFlops
    168 :   1.289097e-05    31690.11 MFlops   11289.60 MFlops   30716.33 MFlops
    169 :   4.321984e-06    30793.04 MFlops   10880.38 MFlops   29840.50 MFlops
    170 :   1.425943e-05    32917.92 MFlops   11009.52 MFlops   31819.89 MFlops
    171 :   6.394165e-05    32601.21 MFlops    9747.00 MFlops   31334.47 MFlops
    172 :   3.328015e-05    32384.71 MFlops   11833.60 MFlops   31448.44 MFlops
    173 :   2.946419e-06    32874.39 MFlops   11401.52 MFlops   31851.88 MFlops
    174 :   4.910101e-06    31855.02 MFlops   11533.71 MFlops   30931.32 MFlops
