From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 189x189 :   46370.60 MFlops   0.001553 s
 190x190 :   46511.55 MFlops   0.001573 s
 191x191 :   46656.60 MFlops   0.001593 s
 192x192 :   41734.37 MFlops   0.001809 s
 193x193 :   46474.71 MFlops   0.001650 s
 194x194 :   36858.22 MFlops   0.002113 s
 195x195 :   37824.96 MFlops   0.002091 s
 196x196 :   46803.64 MFlops   0.001716 s
 197x197 :   50215.91 MFlops   0.001624 s
 198x198 :   38368.33 MFlops   0.002158 s
 199x199 :   39857.62 MFlops   0.002109 s
 200x200 :   52936.31 MFlops   0.001612 s
