From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 187x187 :   26242.10 MFlops   0.002658 s
 188x188 :   37700.27 MFlops   0.001880 s
 189x189 :   26860.70 MFlops   0.002681 s
 190x190 :   41102.62 MFlops   0.001780 s
 191x191 :   26919.22 MFlops   0.002761 s
 192x192 :   36401.87 MFlops   0.002074 s
 193x193 :   31674.22 MFlops   0.002421 s
 194x194 :   25652.64 MFlops   0.003036 s
 195x195 :   26975.44 MFlops   0.002932 s
 196x196 :   27207.00 MFlops   0.002952 s
 197x197 :   37598.27 MFlops   0.002169 s
 198x198 :   26623.42 MFlops   0.003110 s
 199x199 :   26016.63 MFlops   0.003231 s
 200x200 :   35929.82 MFlops   0.002375 s
