From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    161 :     2593.65 MFlops :       0.04 Sec : 20930
    162 :     2308.72 MFlops :       0.05 Sec : 21060
    163 :     2402.27 MFlops :       0.05 Sec : 21190
    164 :     2285.28 MFlops :       0.05 Sec : 21320
    165 :     2622.86 MFlops :       0.05 Sec : 21450
    166 :     2720.67 MFlops :       0.04 Sec : 21580
    167 :     2887.75 MFlops :       0.04 Sec : 21710
    168 :     2839.24 MFlops :       0.04 Sec : 21840
    169 :     2696.12 MFlops :       0.05 Sec : 21970
    170 :     2870.12 MFlops :       0.05 Sec : 22100
    171 :     2904.12 MFlops :       0.05 Sec : 22230
    172 :     2655.31 MFlops :       0.05 Sec : 22360
    173 :     2885.34 MFlops :       0.05 Sec : 22490
    174 :     2753.54 MFlops :       0.05 Sec : 22620
    175 :     2712.34 MFlops :       0.05 Sec : 22750
    176 :     2842.31 MFlops :       0.05 Sec : 22880
    177 :     2953.55 MFlops :       0.05 Sec : 23010
    178 :     2592.21 MFlops :       0.06 Sec : 23140
    179 :     2880.25 MFlops :       0.05 Sec : 23270
    180 :     2891.46 MFlops :       0.05 Sec : 23400
    181 :     3051.68 MFlops :       0.05 Sec : 23530
    182 :     3113.43 MFlops :       0.05 Sec : 23660
    183 :     3089.65 MFlops :       0.05 Sec : 23790
    184 :     3077.29 MFlops :       0.05 Sec : 23920
    185 :     2975.83 MFlops :       0.06 Sec : 24050
    186 :     3112.80 MFlops :       0.05 Sec : 24180
    187 :     3249.12 MFlops :       0.05 Sec : 24310
    188 :     3130.78 MFlops :       0.06 Sec : 24440
    189 :     3154.31 MFlops :       0.06 Sec : 24570
    190 :     3198.28 MFlops :       0.06 Sec : 24700
    191 :     3246.81 MFlops :       0.06 Sec : 24830
    192 :     3166.49 MFlops :       0.06 Sec : 24960
    193 :     2985.14 MFlops :       0.06 Sec : 25090
    194 :     3492.20 MFlops :       0.06 Sec : 25220
    195 :     3317.87 MFlops :       0.06 Sec : 25350
    196 :     3252.07 MFlops :       0.06 Sec : 25480
    197 :     3490.54 MFlops :       0.06 Sec : 25610
    198 :     3259.24 MFlops :       0.06 Sec : 25740
    199 :     2991.15 MFlops :       0.07 Sec : 25870
    200 :     3427.05 MFlops :       0.06 Sec : 26000
