From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    168 :    25743.28 MFlops :       0.00 Sec : 10752
    169 :    25401.25 MFlops :       0.00 Sec : 10816
    170 :    25427.10 MFlops :       0.00 Sec : 10880
    171 :    23813.42 MFlops :       0.00 Sec : 10944
    172 :    23095.04 MFlops :       0.00 Sec : 11008
    173 :    22500.76 MFlops :       0.00 Sec : 11072
    174 :    26367.75 MFlops :       0.00 Sec : 11136
    175 :    26850.94 MFlops :       0.00 Sec : 11200
    176 :    26883.39 MFlops :       0.00 Sec : 11264
    177 :    23617.03 MFlops :       0.00 Sec : 11328
    178 :    24233.92 MFlops :       0.00 Sec : 11392
    179 :    25405.76 MFlops :       0.00 Sec : 11456
    180 :    23772.52 MFlops :       0.00 Sec : 11520
    181 :    23416.69 MFlops :       0.00 Sec : 11584
    182 :    25075.24 MFlops :       0.00 Sec : 11648
    183 :    21920.89 MFlops :       0.00 Sec : 11712
    184 :    27551.89 MFlops :       0.00 Sec : 11776
    185 :    27167.21 MFlops :       0.00 Sec : 11840
    186 :    25856.34 MFlops :       0.00 Sec : 11904
    187 :    25374.08 MFlops :       0.00 Sec : 11968
    188 :    28014.39 MFlops :       0.00 Sec : 12032
    189 :    28240.27 MFlops :       0.00 Sec : 12096
    190 :    24872.49 MFlops :       0.00 Sec : 12160
    191 :    28496.79 MFlops :       0.00 Sec : 12224
    192 :    28704.24 MFlops :       0.00 Sec : 12288
    193 :    27716.93 MFlops :       0.00 Sec : 12352
    194 :    25010.62 MFlops :       0.00 Sec : 12416
    195 :    25301.99 MFlops :       0.00 Sec : 12480
    196 :    28232.30 MFlops :       0.00 Sec : 12544
    197 :    26343.32 MFlops :       0.00 Sec : 12608
    198 :    27867.52 MFlops :       0.00 Sec : 12672
    199 :    26535.35 MFlops :       0.00 Sec : 12736
    200 :    26239.51 MFlops :       0.00 Sec : 12800
