From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    168x168 :     4908.52 MFlops   0.000046 sec
    169x169 :     9934.26 MFlops   0.000023 sec
    170x170 :     4128.57 MFlops   0.000056 sec
    171x171 :     4873.50 MFlops   0.000048 sec
    172x172 :     4551.38 MFlops   0.000052 sec
    173x173 :     4788.64 MFlops   0.000050 sec
    174x174 :     9315.69 MFlops   0.000026 sec
    175x175 :     5833.33 MFlops   0.000042 sec
    176x176 :     5632.00 MFlops   0.000044 sec
    177x177 :     5569.60 MFlops   0.000045 sec
    178x178 :     5280.67 MFlops   0.000048 sec
    179x179 :     5231.18 MFlops   0.000049 sec
    180x180 :     5890.91 MFlops   0.000044 sec
    181x181 :     5460.17 MFlops   0.000048 sec
    182x182 :     5299.84 MFlops   0.000050 sec
    183x183 :     4186.12 MFlops   0.000064 sec
    184x184 :     6155.64 MFlops   0.000044 sec
    185x185 :     5587.76 MFlops   0.000049 sec
    186x186 :     5322.46 MFlops   0.000052 sec
    187x187 :     6358.00 MFlops   0.000044 sec
    188x188 :     6146.78 MFlops   0.000046 sec
    189x189 :     6350.40 MFlops   0.000045 sec
    190x190 :     6876.19 MFlops   0.000042 sec
    191x191 :     6632.91 MFlops   0.000044 sec
    192x192 :     6274.72 MFlops   0.000047 sec
    193x193 :     7095.05 MFlops   0.000042 sec
    194x194 :     7527.20 MFlops   0.000040 sec
    195x195 :     7800.00 MFlops   0.000039 sec
    196x196 :    10597.52 MFlops   0.000029 sec
    197x197 :    10349.07 MFlops   0.000030 sec
    198x198 :     6673.02 MFlops   0.000047 sec
    199x199 :     5760.15 MFlops   0.000055 sec
    200x200 :     8205.13 MFlops   0.000039 sec
