From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    180 :    12960.00 MFlops  0.000010000 sec
    181 :    13104.40 MFlops  0.000010000 sec
    182 :    12045.09 MFlops  0.000011000 sec
    183 :    12177.82 MFlops  0.000011000 sec
    184 :    13542.40 MFlops  0.000010000 sec
    185 :    11408.33 MFlops  0.000012000 sec
    186 :     8140.24 MFlops  0.000017000 sec
    187 :     9991.14 MFlops  0.000014000 sec
    188 :     8836.00 MFlops  0.000016000 sec
    189 :     8404.94 MFlops  0.000017000 sec
    190 :     9626.67 MFlops  0.000015000 sec
    191 :     8106.89 MFlops  0.000018000 sec
    192 :     7760.84 MFlops  0.000019000 sec
    193 :     8277.56 MFlops  0.000018000 sec
    194 :     8855.53 MFlops  0.000017000 sec
    195 :     7605.00 MFlops  0.000020000 sec
    196 :     8536.89 MFlops  0.000018000 sec
    197 :     8624.22 MFlops  0.000018000 sec
    198 :     8253.47 MFlops  0.000019000 sec
    199 :     8337.05 MFlops  0.000019000 sec
    200 :     8888.89 MFlops  0.000018000 sec
