From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    128 :   1.037717e-04    16256.99 MFlops    8192.00 MFlops   15898.55 MFlops
    129 :   3.349781e-05    14603.33 MFlops    4754.57 MFlops   13946.74 MFlops
    130 :   1.490116e-05    14501.65 MFlops    5633.33 MFlops   14004.36 MFlops
    131 :   1.078844e-04    15293.14 MFlops    6864.40 MFlops   14883.97 MFlops
    132 :   3.057718e-05    15807.34 MFlops    8712.00 MFlops   15526.34 MFlops
    133 :   2.888441e-04    15376.71 MFlops    7075.60 MFlops   14988.81 MFlops
    134 :   1.537800e-05    15881.87 MFlops    5985.33 MFlops   15326.93 MFlops
    135 :   2.050400e-05    15474.06 MFlops    4556.25 MFlops   14707.89 MFlops
    136 :   9.846687e-05    16939.10 MFlops    6165.33 MFlops   16323.45 MFlops
    137 :   2.443790e-05    16643.06 MFlops    4692.25 MFlops   15781.74 MFlops
    138 :   4.684925e-05    16686.17 MFlops    6348.00 MFlops   16127.35 MFlops
    139 :   2.640486e-05    17904.13 MFlops    7728.40 MFlops   17419.57 MFlops
    140 :   2.433062e-04    16630.30 MFlops    4355.56 MFlops   15701.96 MFlops
    141 :   2.157688e-05    18143.83 MFlops    6627.00 MFlops   17509.87 MFlops
    142 :   2.628565e-05    18008.10 MFlops    6721.33 MFlops   17403.45 MFlops
    143 :   3.182888e-05    19691.63 MFlops    5112.25 MFlops   18601.58 MFlops
    144 :   4.265904e-04    20954.27 MFlops    8294.40 MFlops   20321.28 MFlops
    145 :   8.916855e-05    20122.94 MFlops    5256.25 MFlops   19031.80 MFlops
    146 :   2.318621e-04    20957.14 MFlops    7105.33 MFlops   20165.61 MFlops
    147 :   6.532669e-05    19078.22 MFlops    7203.00 MFlops   18469.23 MFlops
    148 :   4.965067e-05    19827.47 MFlops    6258.29 MFlops   19008.64 MFlops
    149 :   2.856731e-03    20048.18 MFlops    6343.14 MFlops   19228.22 MFlops
    150 :   2.467632e-05    18000.00 MFlops    6428.57 MFlops   17386.36 MFlops
    151 :   2.682209e-05    19617.95 MFlops    5700.25 MFlops   18727.22 MFlops
    152 :   8.916855e-05    21283.68 MFlops    7701.33 MFlops   20581.15 MFlops
    153 :   1.722574e-05    20064.86 MFlops    3601.38 MFlops   18443.45 MFlops
    154 :   6.357431e-04    18586.59 MFlops    7905.33 MFlops   18118.79 MFlops
    155 :   3.957748e-05    22165.92 MFlops    6864.29 MFlops   21265.83 MFlops
    156 :   1.996756e-05    20576.78 MFlops    6953.14 MFlops   19843.20 MFlops
    157 :   2.336502e-05    21680.07 MFlops    7042.57 MFlops   20866.88 MFlops
    158 :   1.448393e-05    21553.62 MFlops    7132.57 MFlops   20771.08 MFlops
    159 :   2.264977e-05    22146.99 MFlops    4596.55 MFlops   20684.45 MFlops
    160 :   6.723404e-05    23141.24 MFlops    5688.89 MFlops   21904.46 MFlops
    161 :   5.000830e-05    19455.86 MFlops    5760.22 MFlops   18644.93 MFlops
    162 :   4.589558e-05    19281.31 MFlops    7498.29 MFlops   18745.71 MFlops
    163 :   1.667738e-04    21074.19 MFlops    7591.14 MFlops   20418.77 MFlops
    164 :   4.595518e-05    22109.99 MFlops    7684.57 MFlops   21388.72 MFlops
    165 :   4.696846e-05    21544.96 MFlops    6806.25 MFlops   20742.86 MFlops
    166 :   8.869171e-05    21475.57 MFlops    7873.14 MFlops   20836.53 MFlops
    167 :   2.884865e-05    21122.28 MFlops    5070.73 MFlops   20004.77 MFlops
    168 :   2.020597e-05    22105.51 MFlops    8064.00 MFlops   21450.24 MFlops
    169 :   9.226799e-05    22661.08 MFlops    8160.29 MFlops   21979.83 MFlops
    170 :   1.859665e-05    25588.54 MFlops    8257.14 MFlops   24689.88 MFlops
    171 :   2.384186e-05    22676.69 MFlops    7310.25 MFlops   21883.59 MFlops
    172 :   3.194809e-05    26502.33 MFlops    8452.57 MFlops   25566.42 MFlops
    173 :   4.410744e-05    26150.09 MFlops    7482.25 MFlops   25083.35 MFlops
    174 :   3.290176e-05    23570.58 MFlops    7569.00 MFlops   22755.21 MFlops
    175 :   5.587339e-04    24985.43 MFlops    8750.00 MFlops   24227.78 MFlops
    176 :   3.659725e-05    27327.20 MFlops    7744.00 MFlops   26216.09 MFlops
    177 :   1.293421e-04    25148.45 MFlops    6962.00 MFlops   24099.23 MFlops
    178 :   4.017353e-05    26109.96 MFlops    7921.00 MFlops   25152.65 MFlops
    179 :   9.186268e-04    24990.58 MFlops    8010.25 MFlops   24146.84 MFlops
    180 :   2.610683e-05    25246.75 MFlops    8100.00 MFlops   24400.00 MFlops
    181 :   2.062321e-05    26354.40 MFlops    8190.25 MFlops   25434.70 MFlops
    182 :   1.239181e-04    27340.44 MFlops    7360.89 MFlops   26187.78 MFlops
    183 :   4.100800e-05    26703.65 MFlops    7442.00 MFlops   25633.56 MFlops
    184 :   3.343821e-05    28445.22 MFlops    7523.56 MFlops   27230.42 MFlops
    185 :   6.157160e-05    28714.85 MFlops    8556.25 MFlops   27674.41 MFlops
    186 :   2.328157e-04    29382.90 MFlops    7688.00 MFlops   28123.20 MFlops
    187 :   5.328655e-05    27418.04 MFlops    7770.89 MFlops   26365.52 MFlops
    188 :   1.045108e-03    27010.86 MFlops    8836.00 MFlops   26165.52 MFlops
    189 :   5.936623e-05    28130.29 MFlops    7938.00 MFlops   27054.96 MFlops
    190 :   6.192923e-05    28401.66 MFlops    8022.22 MFlops   27322.75 MFlops
    191 :   2.610683e-05    29400.30 MFlops    7296.20 MFlops   28084.58 MFlops
    192 :   7.045269e-05    29127.11 MFlops    9216.00 MFlops   28190.12 MFlops
    193 :   7.331371e-05    23609.38 MFlops    7449.80 MFlops   22850.72 MFlops
    194 :   5.817413e-05    24460.25 MFlops    5376.57 MFlops   23205.92 MFlops
    195 :   2.419949e-05    26720.27 MFlops    8450.00 MFlops   25872.68 MFlops
    196 :   1.900196e-04    28042.96 MFlops    7683.20 MFlops   26965.73 MFlops
    197 :   1.085997e-04    25232.25 MFlops    6468.17 MFlops   24180.06 MFlops
    198 :   8.597970e-04    26004.66 MFlops    7840.80 MFlops   25135.58 MFlops
    199 :   3.290176e-05    28094.83 MFlops    7200.18 MFlops   26934.01 MFlops
    200 :   8.744001e-05    29962.55 MFlops    8000.00 MFlops   28794.33 MFlops
