From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    184 :    31946.17 MFlops    0.000195 sec
    185 :    33678.86 MFlops    0.000188 sec
    186 :    34972.04 MFlops    0.000184 sec
    187 :    35347.04 MFlops    0.000185 sec
    188 :    31342.79 MFlops    0.000212 sec
    189 :    34800.36 MFlops    0.000194 sec
    190 :    34994.90 MFlops    0.000196 sec
    191 :    34839.35 MFlops    0.000200 sec
    192 :    34028.31 MFlops    0.000208 sec
    193 :    31951.36 MFlops    0.000225 sec
    194 :    36325.29 MFlops    0.000201 sec
    195 :    30388.83 MFlops    0.000244 sec
    196 :    36374.57 MFlops    0.000207 sec
    197 :    36580.73 MFlops    0.000209 sec
    198 :    37319.19 MFlops    0.000208 sec
    199 :    35820.90 MFlops    0.000220 sec
    200 :    36036.04 MFlops    0.000222 sec
