From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    175 :    15171.64 MFlops :       0.00 Sec : 11200
    176 :    15667.43 MFlops :       0.00 Sec : 11264
    177 :    15149.40 MFlops :       0.00 Sec : 11328
    178 :    15471.66 MFlops :       0.00 Sec : 11392
    179 :    15734.25 MFlops :       0.00 Sec : 11456
    180 :    15901.23 MFlops :       0.00 Sec : 11520
    181 :    15560.99 MFlops :       0.00 Sec : 11584
    182 :    12110.85 MFlops :       0.00 Sec : 11648
    183 :    18665.44 MFlops :       0.00 Sec : 11712
    184 :    17944.59 MFlops :       0.00 Sec : 11776
    185 :    19240.85 MFlops :       0.00 Sec : 11840
    186 :    18864.29 MFlops :       0.00 Sec : 11904
    187 :    19603.34 MFlops :       0.00 Sec : 11968
    188 :    20010.28 MFlops :       0.00 Sec : 12032
    189 :    19793.13 MFlops :       0.00 Sec : 12096
    190 :    20379.31 MFlops :       0.00 Sec : 12160
    191 :    21826.25 MFlops :       0.00 Sec : 12224
    192 :    20391.84 MFlops :       0.00 Sec : 12288
    193 :    18504.81 MFlops :       0.00 Sec : 12352
    194 :    18297.86 MFlops :       0.00 Sec : 12416
    195 :    18759.62 MFlops :       0.00 Sec : 12480
    196 :    18555.27 MFlops :       0.00 Sec : 12544
    197 :    21607.13 MFlops :       0.00 Sec : 12608
    198 :    21526.06 MFlops :       0.00 Sec : 12672
    199 :    20811.52 MFlops :       0.00 Sec : 12736
    200 :    13572.16 MFlops :       0.00 Sec : 12800
