From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    100 :   6.404136e-15    16771.49 MFlops    6666.67 MFlops   16062.38 MFlops
    101 :   1.059593e-14    16855.64 MFlops    5440.53 MFlops   15893.69 MFlops
    102 :   1.432859e-16    17576.94 MFlops    4896.00 MFlops   16365.84 MFlops
    103 :   3.427184e-16    17987.28 MFlops    6528.62 MFlops   17136.06 MFlops
    104 :   1.432196e-14    18070.10 MFlops    6656.00 MFlops   17241.15 MFlops
    105 :   1.626082e-15    18375.00 MFlops    5880.00 MFlops   17350.82 MFlops
    106 :   2.050552e-14    18465.36 MFlops    2042.91 MFlops   15120.05 MFlops
    107 :   5.123719e-15    17563.34 MFlops    5724.50 MFlops   16625.61 MFlops
    108 :   2.922188e-15    18662.40 MFlops    2275.90 MFlops   15622.37 MFlops
    109 :   6.131147e-15    17986.51 MFlops    5591.06 MFlops   16978.27 MFlops
    110 :   3.139859e-15    19289.86 MFlops    6050.00 MFlops   18230.67 MFlops
    111 :   1.227123e-14    19607.61 MFlops    6571.20 MFlops   18634.75 MFlops
    112 :   2.143583e-14    19512.89 MFlops    6690.13 MFlops   18583.70 MFlops
    113 :   5.562355e-14    19731.92 MFlops    5675.11 MFlops   18544.03 MFlops
    114 :   6.372058e-14    19461.99 MFlops    6931.20 MFlops   18599.78 MFlops
    115 :   1.238168e-14    14082.18 MFlops    6223.53 MFlops   13644.15 MFlops
    116 :   6.555562e-15    19633.91 MFlops    7176.53 MFlops   18810.74 MFlops
    117 :   2.530489e-14    20146.08 MFlops    6441.88 MFlops   19128.73 MFlops
    118 :   1.837259e-14    18967.18 MFlops    6962.00 MFlops   18189.52 MFlops
    119 :   1.892567e-13    19538.08 MFlops    5394.67 MFlops   18354.76 MFlops
    120 :   8.874226e-14    18962.96 MFlops    6776.47 MFlops   18166.15 MFlops
    121 :   2.213020e-14    19933.18 MFlops    6164.63 MFlops   18911.29 MFlops
    122 :   1.856569e-14    19139.37 MFlops    7004.24 MFlops   18375.31 MFlops
    123 :   1.097292e-14    19928.96 MFlops    7119.53 MFlops   19110.32 MFlops
    124 :   3.015984e-14    20175.92 MFlops    6833.78 MFlops   19286.44 MFlops
    125 :   6.485741e-14    20505.25 MFlops    6250.00 MFlops   19464.72 MFlops
    126 :   1.330411e-14    18394.26 MFlops    7056.00 MFlops   17731.64 MFlops
    127 :   1.050379e-14    19301.61 MFlops    7590.12 MFlops   18637.96 MFlops
    128 :   7.644154e-15    19021.79 MFlops    6553.60 MFlops   18227.63 MFlops
    129 :   2.463384e-14    18406.77 MFlops    5120.31 MFlops   17381.70 MFlops
    130 :   5.229209e-14    15834.23 MFlops    6145.45 MFlops   15290.48 MFlops
    131 :   6.208204e-15    16334.90 MFlops    6864.40 MFlops   15845.47 MFlops
    132 :   4.319826e-15    16097.76 MFlops    7336.42 MFlops   15681.60 MFlops
    133 :   4.957417e-15    16423.29 MFlops    6738.67 MFlops   15918.64 MFlops
    134 :   6.826897e-14    18651.97 MFlops    7980.44 MFlops   18121.34 MFlops
    135 :   1.534064e-14    17542.78 MFlops    5400.00 MFlops   16725.19 MFlops
    136 :   1.212131e-14    17652.32 MFlops    7046.10 MFlops   17096.88 MFlops
    137 :   1.701574e-14    18432.64 MFlops    7902.74 MFlops   17920.95 MFlops
    138 :   9.825278e-15    18298.15 MFlops    7617.60 MFlops   17768.10 MFlops
    139 :   2.361992e-13    18176.78 MFlops    6440.33 MFlops   17502.92 MFlops
    140 :   3.651560e-15    19512.89 MFlops    7840.00 MFlops   18921.86 MFlops
    141 :   3.192746e-15    18829.36 MFlops    7952.40 MFlops   18307.68 MFlops
    142 :   9.556296e-14    18946.49 MFlops    8065.60 MFlops   18432.03 MFlops
    143 :   7.515365e-16    18790.09 MFlops    7790.10 MFlops   18260.27 MFlops
    144 :   1.996884e-14    19612.37 MFlops    7212.52 MFlops   18947.58 MFlops
    145 :   1.574995e-14    19876.94 MFlops    8009.52 MFlops   19297.36 MFlops
    146 :   1.877185e-14    19901.75 MFlops    7105.33 MFlops   19205.35 MFlops
    147 :   2.912529e-14    20510.24 MFlops    7203.00 MFlops   19779.41 MFlops
    148 :   1.225950e-13    20245.38 MFlops    6739.69 MFlops   19470.22 MFlops
    149 :   6.693236e-15    20278.61 MFlops    8073.09 MFlops   19691.04 MFlops
    150 :   4.357792e-15    20089.29 MFlops    6923.08 MFlops   19367.09 MFlops
    151 :   6.349529e-15    22017.27 MFlops    7930.78 MFlops   21280.93 MFlops
    152 :   2.838539e-14    20950.38 MFlops    6601.14 MFlops   20104.53 MFlops
    153 :   3.966042e-14    21318.91 MFlops    7803.00 MFlops   20631.66 MFlops
    154 :   6.293983e-14    20855.18 MFlops    7026.96 MFlops   20099.39 MFlops
    155 :   3.007854e-14    22620.35 MFlops    7688.00 MFlops   21815.80 MFlops
    156 :   1.517044e-14    22956.41 MFlops    6280.26 MFlops   21861.15 MFlops
    157 :   3.410711e-14    22630.95 MFlops    7887.68 MFlops   21864.67 MFlops
    158 :   1.905425e-14    20910.87 MFlops    6442.32 MFlops   20070.93 MFlops
    159 :   1.870069e-14    19887.09 MFlops    6974.07 MFlops   19227.80 MFlops
    160 :   3.084508e-15    20078.43 MFlops    7314.29 MFlops   19453.61 MFlops
    161 :   1.544142e-14    21442.68 MFlops    7406.00 MFlops   20724.16 MFlops
    162 :   5.254581e-14    20576.06 MFlops    6561.00 MFlops   19806.79 MFlops
    163 :   1.138756e-14    20225.32 MFlops    7329.38 MFlops   19602.02 MFlops
